"School","Zip","Type","Ldn","Delay"
"Columbia College","98278","Postsecondary",70,"4-7"
"Coupeville High School","98239","Public",65,"3-5"
"Coupeville Middle School","98239","Public",65,"3-5"
"Open Den","98239","Public",65,"3-5"
"Coupeville Elementary School","98239","Public",60,"2-3"
"Island Juvenile Detention Education Program","98239","Public",60,"2-3"
"Island County Corrections Facility Ed Program","98239","Public",60,"2-3"
"Crescent Harbor Elem","98277","Public",60,"2-3"
"North Whidbey Middle School","98277","Public",55,"1"
"Oak Harbor Elementary","98277","Public",55,"1"
"Oak Harbor High School","98277","Public",55,"1"
"Olympic View Elem","98277","Public",55,"1"
"Hillcrest Elementary","98277","Public",55,"1"
"Igrad Academy","98277","Public",55,"1"
"Oak Harbor Christian School","98277","Private",55,"1"
"North Whidbey Kids Academy","98277","Private",55,"1"
