"Org","Date","Name","ID","Measurements","Ldn","Ldn_Lday","Ldn_Lnight","Lden","Lden_Lday","Lden_Levening","Lden_Lnight","Leq00","Leq01","Leq02","Leq03","Leq04","Leq05","Leq06","Leq07","Leq08","Leq09","Leq10","Leq11","Leq12","Leq13","Leq14","Leq15","Leq16","Leq17","Leq18","Leq19","Leq20","Leq21","Leq22","Leq23","Leq","SEL","Lmax","LCpeak","L10","L25","L50","L90"
"SDA","2020-07-06","Camano Island","CmnI",25326,NA,NA,NA,NA,NA,42.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.77,66.85,44.77,44.4,42.43,35.4,37.07,38.82,58.75,102.78,92.2,NA,45.8,43.9,41.3,35.2
"SDA","2020-07-07","Camano Island","CmnI",86400,66.67,66.33,57.19,67,67.02,61.26,57.19,33.43,31.94,32.89,34.54,39.39,42.14,56.07,55.26,69.13,71.59,60.8,57.23,68.66,64.37,65.73,69.54,52.88,68.22,67.87,39.81,61.17,64.29,65.62,58,64.6,113.96,102.3,NA,63.1,54.2,39.6,31.4
"SDA","2020-07-08","Camano Island","CmnI",86400,65.03,67.02,40.07,65.09,67.96,52.17,40.07,36.55,34.07,31.62,31.7,34.85,42.35,35.44,52.1,65.26,69.96,69.28,75.93,57.61,55.91,67.28,62.69,66.93,56.51,55.77,53.36,50.93,51.88,47.47,32.65,64.98,114.35,104.5,NA,55,46.1,36.2,30.8
"SDA","2020-07-09","Camano Island","CmnI",86400,67.03,68.92,46.8,67.05,69.88,48.77,46.8,33.04,36.42,45.54,46.37,48.1,53.04,48.45,57.32,66.22,63.47,80.08,62.44,61.31,55.97,65.55,49.24,37.46,57.52,50.76,46.37,49.95,49.24,37.6,35.33,66.89,116.26,112.8,NA,52.5,46.6,39.7,32.4
"SDA","2020-07-10","Camano Island","CmnI",86400,65.59,67.62,34.55,65.6,68.59,42.32,34.55,32.35,32.35,31.75,33.48,36.07,38.13,36.64,52.41,65.61,62.83,65.9,65.89,66.29,58.21,78.3,53.88,54.05,52,40.63,46.87,31.38,30.74,31.68,32.75,65.58,114.94,110.7,NA,53.6,39.8,32.9,30
"SDA","2020-07-11","Camano Island","CmnI",86400,70.01,72.04,37.33,70.01,73.01,34.69,37.33,32.22,36.69,32.39,33.32,39.15,42.46,37.54,41.18,48.74,49.45,46.25,83.78,55.67,54.47,53.92,41.31,38.18,34.42,34.7,33.39,31.95,37.07,36.72,33.42,70,119.37,116.4,NA,46.5,39.2,33.2,30.2
"SDA","2020-07-12","Camano Island","CmnI",86400,50.62,50.51,40.79,50.74,51.38,41.05,40.79,33.83,35.77,40.29,39.77,39.72,42.55,46.33,43.83,44.9,42.5,44.63,56.4,47.53,50.63,54.54,56.26,50.92,42.41,49.51,36.66,44.46,37.53,37.26,37.74,48.74,98.1,83.2,NA,47,43.4,39.3,35.2
"SDA","2020-07-13","Camano Island","CmnI",86400,61.62,63.63,34.7,65.25,60.53,68.46,34.7,34.91,34.96,33.03,32.35,33.44,38.75,34.27,51.61,48.83,64.16,48.24,47.84,67.45,52.9,64.94,61.26,48.67,54.33,47.28,45.75,40.55,73.22,33.19,33.34,61.59,110.96,102.8,NA,46.7,38.4,34.2,30.9
"SDA","2020-07-14","Camano Island","CmnI",86400,66.59,68.62,37.14,66.77,69.5,58.37,37.14,32.95,32.04,31.85,32.75,40.33,37.8,41.88,47.37,51.88,54.63,50.04,64.71,54.47,80.02,52.59,62.88,55.31,53.77,47.26,41.79,63.04,44.86,35.07,36.23,66.58,115.94,112.5,NA,49.2,40.7,35.5,31.3
"SDA","2020-07-15","Camano Island","CmnI",86400,74.73,76.77,36.65,74.73,77.73,51.98,36.65,35.08,36.7,37.46,33.99,38.34,32.74,36.41,37.5,67.08,83.27,79.04,66.16,82.53,61.6,50.91,81.61,51.57,69.68,78.76,52.52,54.64,36.34,39.49,35.66,74.73,124.09,116.1,NA,52.8,42.9,37.1,32.1
"SDA","2020-07-16","Camano Island","CmnI",86400,65.95,67.01,53.25,66.37,67.72,61.67,53.25,33.08,38.39,34.17,33.33,35.57,37.72,36.39,36.52,77.12,66.51,63.45,52.98,64.86,61.55,64.79,43.71,66.09,59.7,43.83,66.41,40.91,43.12,62.66,44.95,65.08,114.44,108.2,NA,47.9,42,37.5,32.1
"SDA","2020-07-17","Camano Island","CmnI",86400,66.22,67.98,48.35,66.22,68.95,43.09,48.35,39.47,41.49,48.38,47.83,46.64,54.02,52.09,47.77,79.44,56.31,53.44,48.21,66.74,50.37,53.01,53.63,52.08,47.05,34.19,44.96,44.58,30.54,31.41,30.87,65.97,115.33,112.1,NA,51.8,47.1,42.2,30
"SDA","2020-07-18","Camano Island","CmnI",86400,53.12,54.63,38.02,53.15,55.58,37.36,38.02,30.74,31.21,31.96,34.57,39.04,35.82,45.41,58.7,49.2,49.22,51.09,57.43,62.98,54.41,47.79,50.5,41.17,54.41,43.1,38.44,38.67,32.98,33.5,31.16,52.64,102.01,90.6,NA,49.2,40.3,34.1,30.6
