"Org","Date","Name","ID","Measurements","Ldn","Ldn_Lday","Ldn_Lnight","Lden","Lden_Lday","Lden_Levening","Lden_Lnight","Leq00","Leq01","Leq02","Leq03","Leq04","Leq05","Leq06","Leq07","Leq08","Leq09","Leq10","Leq11","Leq12","Leq13","Leq14","Leq15","Leq16","Leq17","Leq18","Leq19","Leq20","Leq21","Leq22","Leq23","Leq","SEL","Lmax","LCpeak","L10","L25","L50","L90"
"JGL",2019-06-24,"Admiral Byrd","AdmB",25200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.44,92.38,90.98,91.81,NA,NA,91.33,92.84,91.28,92.09,136.11,115,133.7,88,75.6,61.8,34.3
"JGL",2019-06-25,"Admiral Byrd","AdmB",7768,NA,NA,NA,NA,NA,NA,NA,32.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.47,93.22,NA,NA,NA,NA,NA,NA,NA,89.88,128.79,114.3012,131.1,73.6,47.63,34.48,29.3
"JGL",2019-07-03,"Crockett Farm","CrcF",8983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.87,81.02,81.18,78.07,NA,86.05,80.7,NA,NA,NA,NA,NA,NA,NA,NA,83.44,122.98,102.4,121.3,86.4,77.9,57.7,33.9
"JGL",2016-02-02,"Keystone House","KysH",6503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.3,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.53,127.66,116.98,NA,73.33,53.16,41.04,36.97
"JGL",2019-06-18,"Keystone House","KysH",7982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.77,100.06,98.33,94.58,98.05,137.07,119.8,136.2,97.2,85.2,77.2,53.7
"JGL",2019-06-19,"Keystone House","KysH",1469,NA,NA,NA,NA,NA,NA,NA,98.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.31,129.98,117.3,134.9,99.1,87.7,80.2,50.5
"JGL",2019-06-20,"Keystone House","KysH",17402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.98,84.21,93.15,44.9,NA,93.7,94.22,92.29,93.35,135.76,115.9,134,92.1,79.3,66.9,41
"JGL",2019-06-21,"Keystone House","KysH",7621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3,78.09,73.14,73.84,NA,NA,NA,NA,NA,NA,NA,NA,75.04,113.86,99.5,117.1,75.2,66.7,57.6,42.3
"JGL",2016-02-02,"Lockwood Stark","LckS",5213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.3,92.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.12,127.29,115.03,NA,85.13,68.77,48.05,37.83
"JGL",2019-06-18,"Long Point Manor","LnPM",6391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.86,78.96,NA,NA,NA,NA,NA,NA,NA,78.46,116.51,108.15,128.18,69.87,60.89,51.38,47.65
"JGL",2019-07-01,"Rosehip Farm","RshF",12300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.04,80,73.92,83.34,80.36,121.26,107.6,127.1,80.4,72.4,57.2,40
"JGL",2019-06-18,"Transit Center","TrnC",6391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.92,83.78,81.25,NA,NA,NA,NA,NA,NA,83.77,121.83,109.56,128.03,84.25,76.78,68.9,54.7
