"ID","TimeStart","TimeEnd","Duration","LAeq","SEL","LAeq_Lmax","LAFmax","LCpeak","Onset","Threshold"
"AdmB",2019-06-24 15:12:07,2019-06-24 15:12:17,10,50.4,60.8,53.4,55.7,75.3,0,50
"AdmB",2019-06-24 15:13:02,2019-06-24 15:14:26,84,74.5,93.8,88.1,89.6,102.8,0.9,50
"AdmB",2019-06-24 15:14:27,2019-06-24 15:15:01,34,82.3,97.8,92.5,94.2,107.4,2.5,59.5
"AdmB",2019-06-24 15:15:01,2019-06-24 15:15:53,52,100.6,117.8,114.2,116,129.8,1.4,59.5
"AdmB",2019-06-24 15:15:53,2019-06-24 15:16:29,36,85.7,101.4,95.4,98.5,114.3,3,59.5
"AdmB",2019-06-24 15:16:29,2019-06-24 15:17:10,41,100.9,117.1,113.2,115.2,128.7,1.5,59.5
"AdmB",2019-06-24 15:17:10,2019-06-24 15:18:10,60,96.5,114.4,109.8,110.8,125.7,1.2,59.5
"AdmB",2019-06-24 15:18:10,2019-06-24 15:19:22,72,95.7,114.3,110,112.7,128,0.9,59.5
"AdmB",2019-06-24 15:19:22,2019-06-24 15:20:32,70,89.6,108.1,101.1,104.7,121,0.9,59.5
"AdmB",2019-06-24 15:20:32,2019-06-24 15:21:31,59,95.4,113.1,108.4,110.3,125.3,1,59.5
"AdmB",2019-06-24 15:21:31,2019-06-24 15:22:35,64,92.8,111,105.8,107.8,122.4,0.9,59.5
"AdmB",2019-06-24 15:22:35,2019-06-24 15:23:42,67,84.7,103,93.9,95.3,112.2,0.7,59.5
"AdmB",2019-06-24 15:23:42,2019-06-24 15:24:41,59,92.9,110.7,104.9,107.1,121.3,1,59.5
"AdmB",2019-06-24 15:24:41,2019-06-24 15:25:52,71,97.2,115.8,111.8,113.5,127.2,1,59.5
"AdmB",2019-06-24 15:25:52,2019-06-24 15:27:09,77,93.2,112.2,107,108.3,123.3,0.9,59.5
"AdmB",2019-06-24 15:27:09,2019-06-24 15:27:53,44,94.6,111.1,105.5,106.8,122.2,1.1,59.5
"AdmB",2019-06-24 15:27:53,2019-06-24 15:29:02,69,95,113.4,108.8,111,125.8,1,59.5
"AdmB",2019-06-24 15:29:02,2019-06-24 15:30:16,74,88.5,107.2,100.5,102,116.3,0.9,59.5
"AdmB",2019-06-24 15:30:16,2019-06-24 15:31:13,57,88.6,106.2,100.6,102.8,118.2,0.8,59.5
"AdmB",2019-06-24 15:31:13,2019-06-24 15:32:13,60,93.4,111.3,106.2,107.6,126.6,1.1,59.5
"AdmB",2019-06-24 15:32:13,2019-06-24 15:33:37,84,94,113.3,108,110,124.8,0.8,59.5
"AdmB",2019-06-24 15:33:37,2019-06-24 15:34:18,41,95,111.2,105.9,108,123.4,1.9,59.5
"AdmB",2019-06-24 15:34:18,2019-06-24 15:34:46,28,96.6,111.2,105.2,106.7,121.3,2,59.5
"AdmB",2019-06-24 15:34:46,2019-06-24 15:35:47,61,92.9,110.9,105.5,106,121.8,1,59.5
"AdmB",2019-06-24 15:35:47,2019-06-24 15:36:51,64,96.6,114.7,110.6,111.8,125.4,1.1,59.5
"AdmB",2019-06-24 15:36:51,2019-06-24 15:37:48,57,90.3,107.9,102.5,103.7,120,0.9,59.5
