Aircraft,Engine,Profile,Long Name,Track,Track Type,Runway,Noise Model,A/C Category,Rep,Track Group,Num Day,Num Night,Num Total,% Day,% Night,% Total
EA-18G,F414-GE-400,201A_EXP,Departure A/B Runway 07 - East Short,07D1A,Departure,07,NMap,Based,No,Departure,0,0,0,,,
EA-18G,F414-GE-400,201A_FLT,Departure A/B Runway 07 - East Short,07D1A,Departure,07,NMap,Based,No,Departure,0,0,0,,,
EA-18G,F414-GE-400,201A_FRS,Departure A/B Runway 07 - East Short,07D1A,Departure,07,NMap,Based,No,Departure,0,0,0,,,
EA-18G,F414-GE-400,202A_EXP,Departure A/B Runway 07 - East Center,07D1B,Departure,07,NMap,Based,No,Departure,0.25,0,0.25,,,
EA-18G,F414-GE-400,202A_FLT,Departure A/B Runway 07 - East Center,07D1B,Departure,07,NMap,Based,No,Departure,0.571428575,0,0.571428575,,,
EA-18G,F414-GE-400,202A_FRS,Departure A/B Runway 07 - East Center,07D1B,Departure,07,NMap,Based,No,Departure,0.035714285,0,0.035714285,,,
EA-18G,F414-GE-400,203A_EXP,Departure A/B Runway 07 - East Long,07D1C,Departure,07,NMap,Based,No,Departure,0.035714285,0,0.035714285,,,
EA-18G,F414-GE-400,203A_FLT,Departure A/B Runway 07 - East Long,07D1C,Departure,07,NMap,Based,No,Departure,0.1428571425,0,0.1428571425,,,
EA-18G,F414-GE-400,203A_FRS,Departure A/B Runway 07 - East Long,07D1C,Departure,07,NMap,Based,No,Departure,0,0,0,,,
EA-18G,F414-GE-400,204A_EXP,Departure A/B Runway 07 - South Short,07D2A,Departure,07,NMap,Based,No,Departure,0.035714285,0,0.035714285,,,
EA-18G,F414-GE-400,204A_FLT,Departure A/B Runway 07 - South Short,07D2A,Departure,07,NMap,Based,No,Departure,0,0,0,,,
EA-18G,F414-GE-400,204A_FRS,Departure A/B Runway 07 - South Short,07D2A,Departure,07,NMap,Based,No,Departure,0,0,0,,,
EA-18G,F414-GE-400,205A_EXP,Departure A/B Runway 07 - South Center,07D2B,Departure,07,NMap,Based,No,Departure,0.1071428575,0,0.1071428575,,,
EA-18G,F414-GE-400,205A_FLT,Departure A/B Runway 07 - South Center,07D2B,Departure,07,NMap,Based,No,Departure,0.17857143,0,0.17857143,,,
EA-18G,F414-GE-400,205A_FRS,Departure A/B Runway 07 - South Center,07D2B,Departure,07,NMap,Based,No,Departure,0.17857143,0,0.17857143,,,
EA-18G,F414-GE-400,206A_EXP,Departure A/B Runway 07 - South Long,07D2C,Departure,07,NMap,Based,No,Departure,0,0,0,,,
EA-18G,F414-GE-400,206A_FLT,Departure A/B Runway 07 - South Long,07D2C,Departure,07,NMap,Based,No,Departure,0.1071428575,0,0.1071428575,,,
EA-18G,F414-GE-400,206A_FRS,Departure A/B Runway 07 - South Long,07D2C,Departure,07,NMap,Based,No,Departure,0.035714285,0,0.035714285,,,
EA-18G,F414-GE-400,207A_EXP,Departure A/B Runway 14 - East Short,14D1A,Departure,14,NMap,Based,Yes,Departure,0.46428571,0,0.46428571,,,
EA-18G,F414-GE-400,207A_FLT,Departure A/B Runway 14 - East Short,14D1A,Departure,14,NMap,Based,Yes,Departure,0.5,0,0.5,,,
EA-18G,F414-GE-400,207A_FRS,Departure A/B Runway 14 - East Short,14D1A,Departure,14,NMap,Based,Yes,Departure,0.1428571425,0,0.1428571425,,,
EA-18G,F414-GE-400,208A_EXP,Departure A/B Runway 14 - East Center,14D1B,Departure,14,NMap,Based,No,Departure,0.9285715,0,0.9285715,,,
EA-18G,F414-GE-400,208A_FLT,Departure A/B Runway 14 - East Center,14D1B,Departure,14,NMap,Based,No,Departure,1.5357142825,0,1.5357142825,,,
EA-18G,F414-GE-400,208A_FRS,Departure A/B Runway 14 - East Center,14D1B,Departure,14,NMap,Based,No,Departure,0.74999993,0,0.74999993,,,
EA-18G,F414-GE-400,209A_EXP,Departure A/B Runway 14 - East Long,14D1C,Departure,14,NMap,Based,No,Departure,0.25,0,0.25,,,
EA-18G,F414-GE-400,209A_FLT,Departure A/B Runway 14 - East Long,14D1C,Departure,14,NMap,Based,No,Departure,0.1785714275,0,0.1785714275,,,
EA-18G,F414-GE-400,209A_FRS,Departure A/B Runway 14 - East Long,14D1C,Departure,14,NMap,Based,No,Departure,0.035714285,0,0.035714285,,,
EA-18G,F414-GE-400,210A_EXP,Departure A/B Runway 14 - South Short,14D2A,Departure,14,NMap,Based,No,Departure,0.0714285725,0,0.0714285725,,,
EA-18G,F414-GE-400,210A_FLT,Departure A/B Runway 14 - South Short,14D2A,Departure,14,NMap,Based,No,Departure,0.214285715,0,0.214285715,,,
EA-18G,F414-GE-400,210A_FRS,Departure A/B Runway 14 - South Short,14D2A,Departure,14,NMap,Based,No,Departure,0.571428575,0,0.571428575,,,
EA-18G,F414-GE-400,211A_EXP,Departure A/B Runway 14 - South Center,14D2B,Departure,14,NMap,Based,No,Departure,0.392857135,0,0.392857135,,,
EA-18G,F414-GE-400,211A_FLT,Departure A/B Runway 14 - South Center,14D2B,Departure,14,NMap,Based,No,Departure,0.428571535,0,0.428571535,,,
EA-18G,F414-GE-400,211A_FRS,Departure A/B Runway 14 - South Center,14D2B,Departure,14,NMap,Based,No,Departure,0.928571435,0,0.928571435,,,
EA-18G,F414-GE-400,212A_EXP,Departure A/B Runway 14 - South Long,14D2C,Departure,14,NMap,Based,No,Departure,0.07142857,0,0.07142857,,,
EA-18G,F414-GE-400,212A_FLT,Departure A/B Runway 14 - South Long,14D2C,Departure,14,NMap,Based,No,Departure,0.035714285,0,0.035714285,,,
EA-18G,F414-GE-400,212A_FRS,Departure A/B Runway 14 - South Long,14D2C,Departure,14,NMap,Based,No,Departure,0.035714285,0,0.035714285,,,
EA-18G,F414-GE-400,213A_EXP,Rep Departure A/B Runway 25 - East Short,25D1A,Departure,25,NMap,Based,Yes,Departure,0.5000000025,0,0.5000000025,,,
EA-18G,F414-GE-400,213A_FLT,Rep Departure A/B Runway 25 - East Short,25D1A,Departure,25,NMap,Based,Yes,Departure,0.714285705,0,0.714285705,,,
