"Time","Field"
2020-12-13 08:55:00,"Ault"
2020-12-13 08:56:00,"Ault"
2020-12-13 08:56:00,"Ault"
2020-12-13 08:56:00,"Ault"
2020-12-13 13:30:00,"Ault"
2020-12-13 13:30:00,"Ault"
2020-12-13 13:34:00,"Ault"
2020-12-13 13:34:00,"Ault"
2020-12-13 16:56:00,"Ault"
2020-12-13 16:56:00,"Ault"
2020-12-13 18:40:00,"Ault"
2020-12-14 01:20:00,"Ault"
2020-12-14 01:20:00,"Ault"
2020-12-14 08:22:00,"Ault"
2020-12-14 08:37:00,"Ault"
2020-12-14 08:41:00,"Ault"
2020-12-14 08:41:00,"Ault"
2020-12-14 08:49:00,"Ault"
2020-12-14 08:49:00,"Ault"
2020-12-14 08:50:00,"Ault"
2020-12-14 09:12:00,"Ault"
2020-12-14 09:12:00,"Ault"
2020-12-14 09:35:00,"Ault"
2020-12-14 09:38:00,"Ault"
2020-12-14 09:46:00,"Ault"
2020-12-14 09:46:00,"Ault"
2020-12-14 09:49:00,"Ault"
2020-12-14 09:50:00,"Ault"
2020-12-14 09:51:00,"Ault"
2020-12-14 09:54:00,"Ault"
2020-12-14 10:00:00,"Ault"
2020-12-14 10:12:00,"Ault"
2020-12-14 10:13:00,"Ault"
2020-12-14 10:14:00,"Ault"
2020-12-14 10:16:00,"Ault"
2020-12-14 10:17:00,"Ault"
2020-12-14 10:19:00,"Ault"
2020-12-14 10:22:00,"Ault"
2020-12-14 10:29:00,"Ault"
2020-12-14 10:31:00,"Ault"
2020-12-14 10:32:00,"Ault"
2020-12-14 10:38:00,"Ault"
2020-12-14 10:40:00,"Ault"
2020-12-14 10:53:00,"Ault"
2020-12-14 10:54:00,"Ault"
2020-12-14 11:04:00,"Ault"
2020-12-14 11:04:00,"Ault"
2020-12-14 11:33:00,"Ault"
2020-12-14 11:45:00,"Ault"
2020-12-14 11:46:00,"Ault"
2020-12-14 11:49:00,"Ault"
2020-12-14 11:52:00,"Ault"
2020-12-14 11:53:00,"Ault"
2020-12-14 11:54:00,"Ault"
2020-12-14 11:56:00,"Ault"
2020-12-14 11:56:00,"Ault"
2020-12-14 12:00:00,"Ault"
2020-12-14 12:04:00,"Ault"
2020-12-14 12:07:00,"Ault"
2020-12-14 12:08:00,"Ault"
2020-12-14 12:21:00,"Ault"
2020-12-14 12:22:00,"Ault"
2020-12-14 12:22:00,"Ault"
2020-12-14 12:25:00,"Ault"
2020-12-14 12:26:00,"Ault"
2020-12-14 12:28:00,"Ault"
2020-12-14 12:29:00,"Ault"
2020-12-14 12:39:00,"Ault"
2020-12-14 12:40:00,"Ault"
2020-12-14 12:41:00,"Ault"
2020-12-14 12:42:00,"Ault"
2020-12-14 12:44:00,"Ault"
2020-12-14 12:57:00,"Ault"
2020-12-14 12:59:00,"Ault"
2020-12-14 13:01:00,"Ault"
2020-12-14 13:04:00,"Ault"
2020-12-14 13:05:00,"Ault"
2020-12-14 13:07:00,"Ault"
2020-12-14 13:12:00,"Ault"
2020-12-14 13:12:00,"Ault"
2020-12-14 13:20:00,"Ault"
2020-12-14 13:23:00,"Ault"
2020-12-14 13:24:00,"Ault"
2020-12-14 13:26:00,"Ault"
2020-12-14 13:29:00,"Ault"
2020-12-14 13:32:00,"Ault"
2020-12-14 13:42:00,"Ault"
2020-12-14 13:42:00,"Ault"
2020-12-14 13:42:00,"Ault"
