"Org","ID","Name","Region","Latitude","Longitude","Field","Data"
"NAVY","2B_T","Seaplane Base","Whidbey Island",48.302,-122.609417,"Ault","SPL"
"NAVY","3A_T","Skagit River Dike","Whidbey Island",48.358783,-122.459883,"Ault","SPL"
"NAVY","5B_SG","Lopez Island","Whidbey Island",48.422137,-122.814946,"Ault","SPL"
"NAVY","8B_SG","Dog Park","Whidbey Island",48.327333,-122.65765,"Ault","SPL"
"NAVY","9B_SG","NASWI Gate","Whidbey Island",48.368816,-122.658583,"Ault","SPL"
"NAVY","20B_SG","Perry House","Whidbey Island",48.169589,-122.629032,"Coup","SPL"
"NAVY","24A_B","NPS Reuble Farm","Whidbey Island",48.189114,-122.666312,"Coup","SPL"
"NAVY","25B_T","Private Residence","Whidbey Island",48.173664,-122.589307,"Coup","SPL"
"NAVY","26B_SG","Reeder Bay","Whidbey Island",48.219567,-122.63495,"Coup","SPL"
"NAVY","27A_SG","Coupeville Water Tower","Whidbey Island",48.171882,-122.641267,"Coup","SPL"
"NAVY","33_SG","Port Townsend City Hall","Whidbey Island",48.116,-122.753483,"Ault","SPL"
"NAVY","99_HOH","Hoh Rain Forest Visitor Center","Olympic Peninsula",47.859722,-123.932415,"","SPL"
"NPS","OLYM001","Hoh River Trail","Olympic Peninsula",47.86627,-123.9146,"",""
"NPS","OLYM002","Third Beach Trail","Olympic Peninsula",47.88517,-124.59748,"",""
"NPS","OLYM003","Hurricane Ridge","Olympic Peninsula",47.96968,-123.50123,"",""
"NPS","OLYM004","Lake Crescent Pyramid Mt Trail","Olympic Peninsula",48.0696,-123.84014,"",""
"NPS","OLYM005","Lake Ozette","Olympic Peninsula",48.11472,-124.65187,"",""
"NPS","OLYM006","High Divide","Olympic Peninsula",47.903471,-123.710344,"",""
"NPS","OLYM007","North Fork Skokomish River Trail Staircase","Olympic Peninsula",47.525142,-123.339283,"",""
"NPS","OLYM008","Upper Royal Basin","Olympic Peninsula",47.834592,-123.213764,"",""
"NPS","OLYM101BP","Barnes Point","Olympic Peninsula",48.060938,-123.796069,"",""
"NPS","OLYM101F","Fairholme","Olympic Peninsula",48.069769,-123.916417,"",""
"NPS","EBLA001","Reuble Farm","Whidbey Island",48.1893,-122.6664,"Coup","SPL,AUDIO"
"NPS","EBLA002","Ferry House","Whidbey Island",48.19182,-122.7036,"Coup","SPL,AUDIO"
"JGL","LckS","Lockwood Stark","Whidbey Island",48.1692,-122.61945,"Coup","SPL"
"JGL","RhdP","Rhododendron Park","Whidbey Island",48.19757,-122.64574,"Coup",""
"JGL","RshF","Rosehip Farm","Whidbey Island",48.198208,-122.66854,"Coup","SPL"
"JGL","FrrH","Ferry House","Whidbey Island",48.19182,-122.7036,"Coup",""
"JGL","RblF","Reuble Farm","Whidbey Island",48.1893,-122.6664,"Coup",""
"JGL","KysH","Keystone House","Whidbey Island",48.16184,-122.6219,"Coup","SPL"
"JGL","TrnC","Transit Center","Whidbey Island",48.20848,-122.64147,"Coup","SPL"
"JGL","LnPM","Long Point Manor","Whidbey Island",48.22462,-122.64894,"Coup","SPL"
"JGL","AdmB","Admiral Byrd","Whidbey Island",48.16501,-122.61963,"Coup","SPL"
"JGL","CrcF","Crockett Farm","Whidbey Island",48.173004,-122.67073,"Coup","SPL"
"SDA","CmnI","Camano Island","Whidbey Island",48.200144,-122.534192,"Coup","SPL"
"SDA","Ldgw","Ledgewood","Whidbey Island",48.146416,-122.598947,"Coup","SPL,AUDIO"
"SDA","RcRd","Race Road","Whidbey Island",48.196492,-122.602965,"Coup","SPL,AUDIO"
"SDA","KntP","Kineth Point","Whidbey Island",48.218952,-122.638115,"Coup","SPL,AUDIO"
"SDA","MHPT","Morgan Hill, Port Townsend","Whidbey Island",48.124617,-122.758069,"Coup","SPL"
"SDA","MdBC","Madrona Beach, Camano","Whidbey Island",48.227747,-122.533422,"Coup",""
"SDA","NwbH","Newberry House","Whidbey Island",48.208747,-122.68525,"Coup","SPL,AUDIO"
"SDA","MrnB","Moran Beach","Whidbey Island",48.3882,-122.66352,"Ault","AUDIO"
"SDA","PtCL","Pt Colville, Lopez","Whidbey Island",48.4218721,-122.8161437,"Ault","AUDIO"
"SDA","NrtD","North Dugualla","Whidbey Island",48.368691,-122.586605,"Ault","AUDIO"
"SDA","SDDH","South Dugualla, Dugualla Heights","Whidbey Island",48.351879,-122.584107,"Ault","AUDIO"
"SDA","RsBF","Rosario Beach, Fidalgo","Whidbey Island",48.422194,-122.664235,"Ault","AUDIO"
"SDA","WstF","West Frostad","Whidbey Island",48.347107,-122.625202,"Ault","AUDIO"
"UW","QtsC","Queets Clearwater","Olympic Peninsula",47.63236,-124.247471,"",""
"UW","Frks","Forks","Olympic Peninsula",47.923407,-124.364412,"",""
"UW","OLYM001","Hoh River Trail","Olympic Peninsula",47.86627,-123.9146,"",""
"UW","OLYM002","Third Beach Trail","Olympic Peninsula",47.88517,-124.59748,"",""
"OI","MrnB","Moran Beach","Whidbey Island",48.372629,-122.665057,"Ault",""
"OI","1oAFR","1-km off Whidbey Island Runway","Whidbey Island",48.3492,-122.6917,"Ault",""
"BLM","PnCL","Point Colville, Lopez","Whidbey Island",48.4221,-122.8143,"Ault",""
"BLM","ACSJ","American Camp, San Juan","Whidbey Island",48.2771,-122.5966,"Ault",""
