"Org","Date","Name","ID","Measurements","Ldn","Ldn_Lday","Ldn_Lnight","Lden","Lden_Lday","Lden_Levening","Lden_Lnight","Leq00","Leq01","Leq02","Leq03","Leq04","Leq05","Leq06","Leq07","Leq08","Leq09","Leq10","Leq11","Leq12","Leq13","Leq14","Leq15","Leq16","Leq17","Leq18","Leq19","Leq20","Leq21","Leq22","Leq23","Leq","SEL","Lmax","LCpeak","L10","L25","L50","L90"
"NPS","2015-06-20","Reuble Farm","EBLA001",86400,58.57,53.45,51.91,58.61,54.34,42.94,51.91,54.56,50.7,46.99,39.95,37.61,38.72,37.46,39.37,41.01,38.46,63.94,57.44,45.03,45.89,47.57,42.68,43.39,42.42,41.06,44.51,42.65,40.94,57.32,55.75,52.93,102.3,74.6,NA,54.1,46.1,38.4,31.4
"NPS","2015-06-21","Reuble Farm","EBLA001",86400,55.07,44.7,49.07,55.23,44.08,46.54,49.07,52.06,48.19,44.12,33.51,36.1,36.97,39.11,39.27,39.96,42.35,45.87,45.3,44.2,43.2,41.86,43.44,44.07,46.77,46.15,47.33,48.42,40.69,53.18,53.92,46.88,96.24,74.9,NA,51.5,46,40,30.7
"NPS","2015-06-22","Reuble Farm","EBLA001",86400,55.81,49.16,49.44,55.93,49.68,45.98,49.44,53.44,46.41,37.12,32.56,36.43,38.56,43.89,41.23,41.75,42.04,39.58,41.86,47.45,47.4,46.38,47.75,57.94,52.37,45.94,49.26,43.78,40.26,52.79,54.68,49.27,98.63,86.4,NA,52,45,39.8,31.9
"NPS","2015-06-23","Reuble Farm","EBLA001",86400,55.55,50.38,48.89,55.66,51.06,45.31,48.89,50.42,44.6,38.55,33.62,39.03,35.83,37.44,58.26,52.66,39.16,48.78,45.33,42.76,53.13,51.52,44.7,40.89,44.68,50.9,45.89,45.8,44,54.25,54.24,49.88,99.24,76.7,NA,52,43.7,38.1,30.5
"NPS","2015-06-24","Reuble Farm","EBLA001",86400,53.44,45.29,47.26,53.48,46.02,39.55,47.26,50.34,41.41,31.68,26.26,33.04,36.11,41.51,46.98,40.28,42.69,42.74,46.63,50.93,44.14,43.13,44.49,45.89,47.13,46.76,40.77,40.59,35.6,50.23,53.6,46.14,95.5,72.8,NA,50.4,43.1,37.9,29.1
"NPS","2015-06-25","Reuble Farm","EBLA001",86400,54.97,45.14,48.94,55.06,45.42,43.82,48.94,49.29,43.08,38.47,27.34,33.75,39.26,40.21,38.48,49.57,43.66,41.78,41.88,48.02,49.08,41.06,46.91,42.85,43.08,43.21,42.78,43.04,45.21,53.49,55.41,46.97,96.34,74.1,NA,50.6,43.2,38.5,30.8
"NPS","2015-06-26","Reuble Farm","EBLA001",86400,55.9,46.61,49.82,56.21,44.75,50.4,49.82,53.73,48.58,40.46,38.3,39.52,39.48,38.37,39.91,40.48,41.46,42.49,42.79,43.97,44.55,48.19,43.45,44.63,48.52,46.5,47.63,48.27,53.09,54.58,53.54,48.1,97.47,71.1,NA,53,45.9,40.6,33.9
"NPS","2015-06-27","Reuble Farm","EBLA001",86400,51.97,42.37,45.92,52.09,42.48,41.91,45.92,51.16,43.42,37.4,27.98,33.82,36.01,38.1,38.13,38.63,42.33,40.49,42.48,42.58,42.04,41.61,41.51,44.95,45.72,43.31,42.57,41.85,41.21,49.74,49.36,44.06,93.43,72.2,NA,48.7,42.4,37.7,31.2
"NPS","2015-06-28","Reuble Farm","EBLA001",86400,48.98,43.62,42.37,49.28,43.71,43.25,42.37,46.11,35.99,31.01,30.04,34.29,39.69,39.58,38.99,41.71,44.33,41.21,41.53,44.48,43.55,43.91,43.93,44.49,47.18,43.88,46.16,42.4,36.71,48.29,42.91,43.19,92.56,69.3,NA,46.7,42.2,37.8,28.6
"NPS","2015-06-29","Reuble Farm","EBLA001",86400,78.52,80.56,45.41,78.52,81.53,47.81,45.41,35.87,37.58,32.4,26.32,31.94,41.42,48.45,41.36,43.27,41.66,42.33,41.11,44.76,47.01,90.5,86.52,81.28,49.14,46.31,49.42,45.31,47.77,49.3,51.15,78.52,127.88,113,NA,52.6,45.5,39.9,29.8
"NPS","2015-06-30","Reuble Farm","EBLA001",86400,53.67,46.91,47.32,54.21,45.21,50.53,47.32,48.93,40.22,36.62,31.02,30.08,38.99,37.5,39.6,44.71,43.17,41.92,45.06,44.51,49.02,44.5,43.09,46.52,43.62,48.26,48.39,48.84,52.86,54.19,50.55,47.07,96.43,76.1,NA,49.7,44.7,39.3,29.6
"NPS","2015-07-01","Reuble Farm","EBLA001",86400,50.33,46.25,43.37,50.85,46,47.11,43.37,46.41,40.72,34.01,31.75,32.84,38.83,41.6,40.94,42.52,42.66,42.35,45.01,48,51.33,46.33,45.22,46.36,46.04,43.36,45.57,45.78,49.04,47.86,47.07,45.38,94.74,75.8,NA,48,44.5,40.1,31.7
"NPS","2015-07-02","Reuble Farm","EBLA001",86400,47.49,44.31,40.19,47.91,44.54,43.26,40.19,44.98,36.61,29.49,33.2,35.77,38.9,42.57,42.97,47.07,42.36,42.57,48.15,42.84,41.28,42.59,47.23,42.67,42.27,44.87,45.22,43.79,38.02,41.84,40.08,43.18,92.54,76.2,NA,44.9,41.4,37.7,28.7
"NPS","2015-07-03","Reuble Farm","EBLA001",86400,46.56,43.72,39.11,47.28,43.41,44.8,39.11,37.66,32.61,25.97,27.34,36.35,43.74,39.29,39.17,39.6,41.17,45.69,44.35,40.62,42.52,44.23,43.77,41.21,45.28,46.19,46.27,46.23,37.97,41.74,41.27,42.5,91.87,68.5,NA,44.4,40.4,36.9,28.6
"NPS","2015-07-04","Reuble Farm","EBLA001",86400,49.8,42.79,43.48,50.02,42.8,42.74,43.48,40.04,33.15,27.04,25.39,34.58,47.63,38.87,39.77,38.21,43.82,42.64,44.86,42.91,38.02,42.39,43.62,44.07,44.56,42.79,40.33,41.98,44.74,49.31,45.3,43.06,92.42,69.9,NA,45.8,40.6,35.8,27.6
"NPS","2015-07-05","Reuble Farm","EBLA001",86400,45.5,42.39,38.17,45.92,42.64,41.24,38.17,38.03,33.39,29.38,26.01,33.3,38.7,39.59,38.49,37.28,41.26,44.09,44.15,43.83,45.94,43.23,42.95,41.66,40.87,40.78,41.05,42.25,40.16,40.52,42.86,41.24,90.61,69.4,NA,43.8,39.8,35.8,27.6
"NPS","2015-07-06","Reuble Farm","EBLA001",86400,86.82,47.92,81.08,86.82,47.09,50.23,81.08,38.38,28.7,29.44,26.03,33.28,38.46,43.18,40.51,41.22,42.49,40.9,43.71,47.18,43.81,48.4,47.72,53.94,44.7,47.3,46.59,42.22,54.05,87.38,87.84,76.83,126.19,106.6,NA,50.6,43.2,39.1,26.6
