"Org","Date","Name","ID","Measurements","Ldn","Ldn_Lday","Ldn_Lnight","Lden","Lden_Lday","Lden_Levening","Lden_Lnight","Leq00","Leq01","Leq02","Leq03","Leq04","Leq05","Leq06","Leq07","Leq08","Leq09","Leq10","Leq11","Leq12","Leq13","Leq14","Leq15","Leq16","Leq17","Leq18","Leq19","Leq20","Leq21","Leq22","Leq23","Leq","SEL","Lmax","LCpeak","L10","L25","L50","L90"
"NAVY","2020-12-13","Perry House","20B_SG",85935,50.89,46.86,43.92,50.96,47.7,38.61,43.92,34.7,46.86,49.42,46.33,38.75,38.49,43.15,44.04,47.66,48.04,49.88,50.94,49.87,47.77,48.3,45.75,46.64,43.35,38.87,37.68,39.95,37.79,35,32.8,45.96,95.3,74.3,103.7,49.1,44.4,40.5,32.7
"NAVY","2020-12-14","Perry House","20B_SG",86400,66.47,68.4,45,66.48,69.36,44.2,45,31.73,33.48,29.18,30.61,47.52,41.41,46.88,46.75,49.54,55.77,53.6,45.92,80.05,58.24,49.7,48.01,46.45,58.18,41.79,46.69,42.72,41.33,46.25,50.7,66.37,115.73,106.3,121.9,49.6,44,39.5,24.4
"NAVY","2020-12-15","Perry House","20B_SG",86306,77.11,79.07,54.03,78.47,79.22,78.44,54.03,51.69,53.55,55.41,56.03,58.83,53.9,51.31,50.61,49.31,52.38,56.32,51.64,83.35,83.82,77.21,68.9,49.44,85.65,80.67,83.21,39.14,38.62,37.14,33.94,77.05,126.41,108,123,62.2,53.5,48.2,33.6
"NAVY","2020-12-16","Perry House","20B_SG",86400,76.63,78.65,46.51,77.77,78.97,77.09,46.51,32.69,31.15,33.19,34.12,36.89,40.42,42.66,46.42,49.78,51.07,52.32,51.1,86.39,49.52,79.52,64.26,67.89,84.13,81.83,81.85,50.88,54.28,52.8,52.31,76.61,125.98,106.3,123,64.8,52.2,47.5,31.3
"NAVY","2020-12-17","Perry House","20B_SG",86400,73.79,75.68,53.17,75.21,75.77,75.34,53.17,45.67,55.23,57.03,57.63,53.63,48.12,46.16,45.78,48.67,54.05,52.8,51.86,80.38,47.28,77.06,66.44,79.96,80.66,78.58,80.11,39.51,38.1,43.25,47.22,73.66,123.02,106.3,123,74.8,55.3,47.5,35.2
"NAVY","2020-12-18","Perry House","20B_SG",86381,56.26,56.84,45.07,57.2,57.07,55.8,45.07,42.65,40.65,38.94,39.89,42.41,48.1,48.07,49.05,55.65,55.58,53.36,53.29,56.2,57.35,58.46,60.26,58.61,58.81,58.18,57.23,56.55,52.05,42.07,49,54.97,104.33,77.3,117.2,58.1,55.1,50.5,38.3
"NAVY","2020-12-19","Perry House","20B_SG",86400,52.54,52.13,43.16,53.25,52.42,50.69,43.16,49.78,45.99,41.85,35.6,33.14,35.49,39.21,39.25,48.75,49.79,49.94,48.5,50.82,50.65,51.06,50.44,55.91,57.58,54.9,53.53,49.9,44.59,41.39,36.83,50.4,99.77,72.1,113.6,54.4,50.5,44,32.7
"NAVY","2021-03-28","Perry House","20B_SG",86400,60.54,59.04,52.26,61.23,59.15,58.58,52.26,36.66,29.85,24.49,31.61,29.61,33.99,45.72,49.16,52.65,54.33,57.57,60.67,63.44,64.01,53.15,59.6,57.21,56.68,58.77,56.12,57.77,60.63,58.67,58.64,57.51,106.88,79.8,115.7,60.8,56.7,51.9,25.9
"NAVY","2021-03-29","Perry House","20B_SG",86400,68.42,70.23,49.75,71.06,68.93,73.32,49.75,55.46,52.69,50.91,46.56,45.31,42.57,49.23,51.9,50.67,53.41,48.65,52.84,50.74,60.22,78.31,73.06,65.54,49.57,53.45,76.97,71.65,42.8,38.12,30.38,68.22,117.58,96.9,114.6,60.8,50.8,45,33.4
"NAVY","2021-03-30","Perry House","20B_SG",86400,62.77,64.67,42.16,67.58,50.62,71.52,42.16,29.42,36.58,26.52,31.11,34.88,44.76,50.03,51.18,51.05,50.78,52.28,53.6,49.76,50.47,47.86,48.55,48.77,50.28,49.44,50,76.25,55.08,36.34,34.48,62.64,112.01,93,109.4,52.1,45.9,39.6,25.8
